Company,Item,Calories,Protein,Protein Focused Diet
Taco Bell,Soft Taco – Chicken,180,13,
Taco Bell,Soft Taco – Chicken,160,12,
Taco Bell,Chicken Chipotle Melt – Value Menu,190,12,
Taco Bell,Loaded Nacho Taco,250,10,
Taco Bell,Loaded Nacho Taco (New),250,10,
Taco Bell,Soft Taco – Beef,210,10,
Taco Bell,Soft Taco Supreme – Specialties,210,10,
Taco Bell,Loaded Nacho Taco – Value Menu,250,10,
,,,,Calorie Focused Diet
Taco Bell,Loaded Nacho Taco,250,10,
Taco Bell,Loaded Nacho Taco (New),250,10,
Taco Bell,Loaded Nacho Taco – Value Menu,250,10,
Taco Bell,Soft Taco – Beef,210,10,
Taco Bell,Soft Taco Supreme – Specialties,210,10,
Taco Bell,Chicken Chipotle Melt – Value Menu,190,12,
Taco Bell,Soft Taco – Chicken,180,13,
Taco Bell,Soft Taco – Chicken,160,12,
,,,,Low Sugar Diet
Taco Bell,Crunchy Taco,170,0,
Taco Bell,Nacho Cheese Doritos® Locos Taco,170,0,
Taco Bell,Cheesy Roll Up – Specialties,180,0,
Taco Bell,Crunchy Taco – Specialties,170,0,
Taco Bell,Nacho Cheese Doritos® Locos Taco – Specialties,170,0,
Taco Bell,Black Beans & Rice (V),170,0,
Taco Bell,Black Beans (V),50,0,
Taco Bell,Diablo Sauce Packet (V),0,0,
Taco Bell,Fire Sauce Packet (V),0,0,
Taco Bell,Hot Sauce Packet (V),0,0,
Taco Bell,Mild Sauce Packet (V),0,0,
Taco Bell,Premium Hot Coffee,10,0,
Taco Bell,Regular Iced Coffee,10,0,
Taco Bell,Water,0,0,
Taco Bell,Cheesy Roll Up – Value Menu,180,0,
Taco Bell,Chicken Chipotle Melt – Value Menu,190,0,
Taco Bell,Black Beans & Rice,170,0,
Taco Bell,Cheesy Roll Up,180,0,
Taco Bell,Hash Brown,160,0,
Taco Bell,Breakfast Salsa Packet (V),0,0,
Taco Bell,Hash Brown (V),160,0,
Taco Bell,Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),0,0,
Taco Bell,Diet Dr Pepper® (16 fl oz),0,0,
Taco Bell,Diet Pepsi® (16 fl oz),0,0,
Taco Bell,Mtn Dew® Baja Blast Zero Sugar (16 fl oz),5,0,
Taco Bell,Pepsi® Zero Sugar (16 fl oz),0,0,
Taco Bell,Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),0,0,
Taco Bell,Diet Dr Pepper® (20 fl oz),0,0,
Taco Bell,Diet Pepsi® (20 fl oz),0,0,
Taco Bell,Mtn Dew® Baja Blast Zero Sugar (20 fl oz),10,0,
Taco Bell,Pepsi® Zero Sugar (20 fl oz),0,0,
Taco Bell,Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0,0,
Taco Bell,Diet Dr Pepper® (30 fl oz),0,0,
Taco Bell,Diet Pepsi® (30 fl oz),0,0,
Taco Bell,Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15,0,
Taco Bell,Pepsi® Zero Sugar (30 fl oz),0,0,
Taco Bell,Soft Taco – Beef,180,1,
Taco Bell,Soft Taco – Chicken,160,1,
Taco Bell,Soft Taco – Specialties,180,1,
Taco Bell,Diet Mtn Dew® (16 fl oz),5,1,
Taco Bell,Diet Mtn Dew® (20 fl oz),10,1,
Taco Bell,Diet Mtn Dew® (30 fl oz),10,1,
Taco Bell,Loaded Nacho Taco,250,2,
Taco Bell,Crunchy Taco Supreme®,190,2,
Taco Bell,Loaded Nacho Taco (New),250,2,
Taco Bell,Nacho Cheese Doritos® Locos Taco Supreme®,190,2,
Taco Bell,Soft Taco – Beef,210,2,
Taco Bell,Soft Taco – Chicken,180,2,
Taco Bell,Chips and Nacho Cheese Sauce (V),220,2,
Taco Bell,Soft Taco Supreme – Specialties,210,2,
Taco Bell,Chips and Nacho Cheese Sauce – Value Menu,220,2,
Taco Bell,Loaded Nacho Taco – Value Menu,250,2,
Taco Bell,Chips and Nacho Cheese Sauce,220,2,
Taco Bell,G2 – Fruit Punch (16 fl oz),30,6,
Taco Bell,G2 – Fruit Punch (20 fl oz),35,8,
Taco Bell,Lowfat Milk – Federal (Regional),80,9,
Taco Bell,Cinnabon® Delights™ (2 Pk) (V),160,10,
Taco Bell,Cinnabon® Delights™ (2 Pack),160,10,
Taco Bell,Cinnabon® Delights™ (2 Pack) (V),160,10,
,,,,No Red Meat
Taco Bell,Soft Taco – Chicken,160,12,
Taco Bell,Soft Taco – Chicken,180,13,
Taco Bell,Chicken Chipotle Melt – Value Menu,190,12,
Taco Bell,Chalupa Supreme® – Chicken,330,16,
Taco Bell,Burrito Supreme® – Chicken,370,19,
Taco Bell,Power Menu Bowl – Chicken,470,26,
Taco Bell,Quesadilla – Chicken,510,27,
